label,Question 
valid,Build a stack using queues and vice versa
valid,Implement doubly linked list
invalid,Asked some questions on Distributed computing, Computer Networks
invalid,Asked some in depth questions on my project
valid,Are you a leader? why do you think so?
valid,Given a case about leader managing his team and asked some questions like what would you do in that situation
valid,standard HR interview like what are your strengths and weakness, why do you want to join in our company etc
invalid,Mostly Web-based questions and about projects you have done
invalid,Mongo DB, AngularJs, BreezeJs, Neo4j skills are very strong plus to have
valid,What is a Tree/binary search tree, How to perform add, delete operation in BST, whats the time complexity, asked to write complete code on paper
valid,Make a copy of linked list with a random pointer pointing to random node in the linked list, asked to write pseudo code for it
invalid,Some SQL basic sql queries
valid,Algorithm to find GCD
valid,Code of in-order traversal
valid,Matrix traversal algorithm
invalid,Fundamentals of data structure
invalid,Questions based course work and project
valid,Tell me about your project?
valid,Tell me about yourself?
valid,Where do you see yourself after few years?
valid,Do you have any questions for us?
valid,Standard HR: Tell me about yourself, why this company and how do you think we help you reach your goals?
valid,Tell me one cool thing you got to do at IIT
valid,Why did you choose IIT and do you regret it? What's different here?
valid,What is a portfolio? How do you measure risk?
valid,What is beta? What is Value at risk? What is formula for beta?
valid,What is covariance? How does it measure sensitivity? What is volatility?
valid,What is WACC? How do value a company? Suggest a method that can help you decide on project undertaking?
valid,Tell me about yourself
valid,How are you good than others sitting outside for the interview
valid,Tell me something about your leadership qualities
valid,Have you ever faced challenges?
valid,Your areas of improvement
invalid,Industrial experience/Internship/Projects
valid,Technical stuff related to your stream. For ex: mine was ..explain Fe-C diagram
valid,Explain the difference between Moore and Mealy state models
valid,Explain the difference between Moore and Mealy state models
valid,Draw the state diagram and the clocked D-flipflop circuit for a 0110 sequence detector
valid,What is parity and how is it used? Draw the circuit diagram for a parity checker
invalid,Design a memory organization given the size and block units
valid,Draw the circuit diagram for a random number generator
valid,What is a Schmitt trigger/inverter?
valid,Arrange the inputs to AND gates so that power usage is optimized/delay is optimized
valid,Draw the CMOS circuit for a given logic equation and do the corresponding W/L sizing
valid,Draw a circuit for a set of logic equations using PLA
valid,Draw and talk about a basic SRAM cell
valid,Given the delays for gates and wires, draw output waveforms for the given logic circuit
valid,What is Min-Cut placement algorithm? Given some block sizes, use the algorithm to place them on a given chip area
valid,Given a clock waveform of frequency f, design a circuit to get an output of frequency f/3
valid,Explain a little about your M.Tech. project
valid,What do you know about Qualcomm?
valid,Have you ever worked in groups? What kind of work was it?
invalid,All standard HR questions will be asked
valid,Write the code for printing a matrix in spiral order
invalid,Situation based questions
invalid,He gave me a puzzle to solve
valid,What is your GRE score ?
valid,What is your CAT score ?
valid,Why do you want to join our firm?
valid,Who is the CEO of our company ?
valid,You have written some PORs in you CV, But I feel this is not at all a POR!!! ?
valid,What are your plans for the future?
valid,How do people remember you by ? define it in one word
valid,what are your 2 strengths ?
valid,what is your weakness?
valid,what people dont like in you ?
valid,where do you see yourself 5 years down the line ?
valid,What is your JEE Rank, 10th and Inter Math score ?
invalid,He too asked me a puzzle on probability
valid,Demand of TVs next year? Specify one 'good' and one 'bad' approach
valid,What would you suggest Kishore Biyani against us (Flipkart) to stay in competition?
valid,Number of Umbrella sold in India during rainy seasons
valid,Walk be through your CV and explain each thing in detail
valid,Tell me about yourself
valid,Why do you want to join our company?
valid,Why not core? Why consulting?
invalid,Prepare for obvious questions. e.g. In Snapdeal I was asked,
valid,Why not MS?
valid,Puzzles and Business problems
valid,Why not CAT? GRE?
valid,TELL ME ABOUT YOURSELF
valid,WHY ANALYTICS? WHY YOU? ANYTHING UNIQUE IN YOU WHICH IS NOT AVAILABLE IN ANYONE ELSE?
valid,WHAT FACTORS YOU CONSIDER IN MARKING THE PRICE OF TELIVISION PRODUCT
valid,A pseudo code or solution(if you can) for solving the rubik's cube
invalid,Had 2 rounds of interviews consisting of HR + case studies + guesstimates and why ecommerce industry related
valid,Predict the number of maternity clinics that a new entrant should be looking to open all across India
invalid,All questions about basic of pharmaceutical sciences
invalid,Questions asked about real time challenging situations
invalid,HR interview
valid,Pricing of a product
invalid,Guesstimate
invalid,Sales force optimization
valid,Say something about yourself?
invalid,Asked on college project
valid,Which programming language do you know?
valid,What is class, encapsulation and other feature of OOP?
valid,Write a program to find the sum of the squares of each term of Fibonacci series
valid,What can I do for you?
valid,Why would you like to join Cognizant?
valid,Introduction o f myself(based on resume)
invalid,Probability puzzle
valid,Write algorithm for a coding problem statement
invalid,Finance questions based on recent happenings
invalid,Questions on Logical, Verbal & Quantitative Aptitude
valid,Why DB is agood choice?
valid,What does Sabre do?
valid,What is OR?
valid,What opinion do you have about the moth courses that you have done?
valid,You are from Bio.tech department. Why not app?
valid,Help a Vancouver based company's innovotion cell to enter India's rural market
valid,Decide whether a copper processing unit should be near the mine or market
valid,Whether banks should roll out ATM's or outsource them
valid,How to invest Rs.500 crore in the power sector
valid,Why do you think you fit into the scheme of things?
invalid,Questions on Copenhagen Summit, carbon dioxide density, carbon monoxide properties
valid,Why IOCL?
invalid,Questions on projects/internships
valid,A modelling problem
valid,A DSA problem
valid,Explaining your B.Te\xc3\x82\xc2\xb7ch I intern project
invalid,Explaining other projects
valid,General intent in life and lurure plans if any
valid,NAND, NOR structures and their sizing and how they would vary depending on loads
invalid,Timing analysis questions
valid,Design flow for a chip development
invalid,Questions on timings. delay in digital circuits
valid,Where energy is consumed in transistors?
invalid,Based on given situation
valid,Tell an instance where you were doing things which you didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t like and your reaction
valid,What does American Express do? What is the AmEx Credit Card Model?
valid,How will you stay motivated through dull phases of your career?
valid,Why do you want to join our company?
valid,Why do you prefer a career in investment banking over consulting?
valid,Identifying the reasons for loss incurred by a motel (relevant data was provided)
valid,Evaluating different aspects of setting up a business
valid,Guesstimate: Estimate the number of windows in a skyscraper
valid,Estimate the scope of 4G in India. Is introducing 4G a good idea? (reason)
valid,A foreign elevator company operating in India is incurring losses. What are the likely issues and how can they be fixed?
invalid,Questions based on Analytics
valid,Estimate the revenue of the company?
valid,What does EXL do?
invalid,Questions from Probability, Markov Chains, Induction
invalid,Discussion on economics of Multiplex Chain based in City of Kolkata
valid,Market Entry case (In India) of a healthcare giant that has built a product that cures Cataract
valid,Investigation of profitability issues of a Coffee Vending Machine Operator
valid,Investment Attractiveness of K12 (Kindergarten-Class 12) type school chains in India
valid,Tell me about yourself?
valid,What are the subjects you have command in?
valid,Tell me about your final year project?
valid,Tell me about the industrial training you had?
valid,How does an induction motor works?
valid,Why motor is rated in KW whereas Transformer and generator in KVA?
valid,What is the type of motor used in ceiling fans?
valid,Hoe does a thermal power plant works?
valid,Write a program to make a GP
valid,Write a program to print factorial using recursion
valid,Write the logic to reverse a string without using string fnctions
valid,Tell me about yourself?
valid,What are your hobbies?
valid,Apart from your technical pat and studies what have you done in college?
valid,What do you prefer, ethics or values?
valid,Suppose you are working in office and somebody came and slapped you, what will you do?
valid,Tell me about yourself for 5 minutes
valid,What are your views about Mr. Narendra Modi as PM of India
valid,Any extra curricular activities you have participated in school or college
valid,What are your strengths?
valid,What are your weaknesses?
valid,Being an Electrical engineer why do you want to join an IT company
valid,What do you know about TCS?
valid,Why ITC specifically?
valid,Why American Express
valid,Prepare a database of the upcoming bands in the music industry
valid,A company has been making loss for 2 years. Find a solution based on data given
valid,Estimate the size of tractor market in India
valid,Tell us your story
valid,Substantiate your claim in the resume
valid,Where do you see yourself in 5 years?
valid,Tell us about yourself
valid,Biggest achievement and why?
valid,Do you have any Weaknesses?
valid,Any problems with relocating to Bangalore?
invalid,Solve Monty Hall problem using Bayesian probability
valid,Tell me about
valid,Why GE
valid,What product you like the most made byGE
valid,What would you like to make in GE
valid,Hobby
valid,Why Dual Degree and Mech
valid,Subject you love the most and why
valid,Strength Of material:1. Stress and pressure?difference?
valid,Find the stress and failure condition for a truss system?
valid,Pressure vessel Thick and derivation ?
invalid,Buckling Derivation ?
invalid,Dual Degree Project ?
invalid,Basics in Finance (Accounting mostly)
valid,Given a complex diagram, find out maximum frequency of operation
valid,Set-up time, old-up time
invalid,Gates,mux encoders
invalid,Questions related to relationship of resistivity and cross-section
invalid,Min. size of buffer based on burst rate, input steam rate, output steam rate,latency rate, etc
valid,If you know the e-mail ID of a person and were asked to hack his account how would you go about it? (Without hacking fundaes)
valid,How many A4 sheets are sold in India per day?
valid,About Yourself
valid,Resume Summarisation
invalid,Common Puzzeles
valid,Earthquake effects on structures and its design process. Richter scale and other scales for earthquakes
valid,A building designed for some place like Delhi, later supposed to shifted to Chennai, then will you do changes in the design? If yes explain. Would you prefer OPC or PPC for Delhi climate?
invalid,Six sigma analysis
invalid,Quality sampling
valid,Introduction
valid,Why ITC ?
valid,Why not startup ?
valid,Tell me about yourself
valid,Why reliance?
invalid,Questions related to project which I did
valid,Anything significant which you did for society
valid,Why do you want to come to Software profile when you studied Chemical Engineering?
valid,Future Plans?
valid,Weaknesses?
valid,Name a situation where you planned something but due to some other problems you have to adjust in the end?
valid,Name a situation where you had to change your behaviour according to situation?
valid,Name a situation where you had to deal with 2-3 different groups?
valid,Name a situation where you were part of group and made difference?
valid,Name a situation where you took an initiative?
valid,Give an experience of working as part of a team?
valid,Name situation where you had to prepare for a speech for a special group of people?
valid,Focussed more about my 3rd year intern where I developed an application using VBA for STP
invalid,Questions about Android and e-commerce
valid,Then asked about my football interests(I said to him I am football blogger), so asked me to explain few articles which I wrote
invalid,All about my resume, my BTP
valid,Coding problems
valid,Normally they ask us to introduce your self
valid,Write C code to implement atoi() and itoa()
valid,Most senior citizens do not know how to use a smartphone. Make design changes to help them. how will you convince your team if it opposes your proposal?
valid,Estimate the number of Maruti 800s in Kolkata
valid,Why do you want to join the company?
valid,What do you understand about safety?
valid,Tell me about your internship, B.Tech project(BTP), CV
valid,Implement LRU cache.
valid,what is virtual memory? Will we need virtual memory even if we have infinite amount of RAM?
valid,Given an array, Find out maximum length of subarray where max of subarray <= 2*min of subarray
invalid,Practical, real life execution question
valid,Strengths and weakness
valid,Why do you want to join Futures First ?
valid,One good reason to select you ?
valid,Hobbies and interests ?
valid,If not futures first, which company would you like to join and why ?
valid,If you don't find the work interesting, would you leave the company ?
valid,What makes you think that you are fit for this role ?
valid,Facts about the company
valid,Rate yourself in mental math, logical reasoning on the scale of ten
valid,Guess Estimate
valid,Three reasons you would not want to join futures first ?
valid,Why is your CG so low (this will be the same even if your CGPA is 9)
valid,You are not consistent in your academics. We don't think you can survive in our company ?
valid,One achievement in your life you are proud of ?
invalid,Project Work?
valid,How could you relate your project work to Tata Steel?
valid,Why Tata Steel?
valid,What is your passion?
invalid,Some applications of resistance welding process and tests on spot weld
valid,If you have done some modeling work and have knowledgeof Ansys,  solidworks?
valid,Which area would you concentrate on if you were the CEO of the company?
valid,If you were the company how would you feel on hiring yourself?
invalid,Project work ?
valid,Why TATA STEEL ?
valid,What is your passion ?
invalid,Some application of resistance welding process and tests on spot welds
valid,if you have done some modeling work and have knowledge of ansys, solidworks then it will add weight in your selection
valid,How could you relate your project work to Tata Steel ?!
invalid,Questions on coding related experience(interns,academic projects) written in resume
valid,What is responsive design ? How will you develop responsive websites ?
valid,What are synchronous and asynchronous calls ?
valid,Tell 5 new features of HTML 5
valid,Write a javascript code to compare given two dates
valid,Do you want to anything from our side ?
valid,About the family background
valid,About my certification .As i had mentioned a lot of certifications
valid,About the other offers . As i had got an offer from Infosys as well
valid,Why Infogain?
valid,Area of interest.Then why we need data Structures
valid,Out put of a written program .This was related to priority of operators?
valid,A programme to check palindrome?
valid,What is the super class of Exception?
valid,What is Checked and Unchecked Exception.An Example of each?
valid,Use of super and this
valid,Can we use super and this in a single constructor?
valid,Will protected member be inherited in subclasses in hierarchy?
valid,What is deadlock .what are the conditions of deadlock?
valid,Tell us something about yourself?
valid,What values have you got from your father?
valid,What\'s your area of interest in civil engineering?" reply in short and tell what you are good at, not your real area of interest!
valid,Does the shape and the mass and stiffness distribution in a building effect it's EQ response, explain
valid,There is a cantilever slab and it is in a very old and dilapidated condition, it's users (having no engineering knowledge) want to prolong it's life, so they prop its hanging end with a bamboo stick, is this the right thing to do or not?
valid,What are your long term goals? Where do you see yourself in next 10 years, what career path do you desire?
valid,Where did you do the internship ?
valid,What did you learn from your mistakes ?
valid,Why should we recruit you ?
valid,What happens to copper loss in transformer when it is operates at half its rated MVA?
valid,Induction Motor that gives high starting torque as well as high efficiecy?
valid,Guesstimate: Estimate the number of cycles sold in Chennai in the year 2012
valid,How should I run a 3 screen multiplex?
valid,Case study: I have a printing service whose sales are dipping so what should I do?
valid,A company XYZ has 50 % shares in a mall. Some B company has 30% shares. A foreign company comes and buys company B. Now company XYZ comes to you and asks what should XYZ do? What would you advise?
valid,1.   About yourself and family, best and worst moments in given past, qualities and weaknesses, internship
invalid,2. Technical questions on building science, concrete technology, construction management etc
valid,Tell me about yourself
valid,What are your major strengths and weaknesses
valid,If I ask a friend about you, how do you think he'll describe you?
valid,Give me an instance when your attention to detail mattered
valid,Tell me an instance when things didn't go as planned in a team and how you handled that situation
valid,Estimate the number of pizzas sold in IIT Roorkee campus in a month
valid,Estimate the number of streetlights in Roorkee
valid,Your client holds an online website for booking cabs. Due to some reasons, the site is not attracting a lot of customers. Suggest and implement a way so as to increase the no. of customers visiting the website
valid,Some questions from resume and feasibility of case study
invalid,1. Technical Round
invalid,HR Round
invalid,Asked about GATE rank, UG entrance Exam rank( AIEEE Rank)
valid,Explain pushover analysis
valid,Draw bending Moment & Shear force of standard portal frame
valid,Draw Influence line diagram
invalid,Test was simple it consisted of 3 parts
valid,1) English passage reading.:
valid,2)Next pattern follow in the sequence
valid,3)Data Interpretation
valid,How will you light up the Pit?
valid,Say, 10 years back when there were no airlines in India and a private player wants to set up an airline operation, and you are their consultant, what would you do?
valid,About yourself
valid,Any incident where you need to push yourself out of your comfort zone
valid,Your strengths and weaknesses
valid,Incident where you have shown the presence of mind
valid,Any leadership quality responsibilities
valid,Any question you would like to ask us?
